id,isotime,latitude,longitude,depth,magnitude,relocated,startRms,finalRms,locChange,depthChange,timeChange,numNeighbours,ph_usedP,ph_usedS,ph_stationDistMin,ph_stationDistMedian,ph_stationDistMax,dd_numTTp,dd_numTTs,dd_numCCp,dd_numCCs,dd_startResidualMedian,dd_startResidualMAD,dd_finalResidualMedian,dd_finalResidualMAD
362223,2022-03-28T07:27:57.399005Z,50.543647613884,29.013613398784,78.2312658267,1.00,true,1.361,2.876,58.093,77.731,-10.601,60,20,20,79.374,80.682,82.375,1080,1053,0,0,-0.0376,0.0515,-0.0018,0.0384
484048,2022-03-28T07:29:19.907451Z,50.569542088138,29.018625361068,77.5196428201,1.00,true,1.049,2.782,54.967,77.020,-10.093,61,14,15,78.536,79.588,80.837,796,857,0,0,-0.0418,0.0423,-0.0347,0.0436
1356848,2022-03-28T07:37:52.551136Z,50.481675713647,29.013602329043,74.5449523438,1.00,true,0.616,2.913,63.763,74.045,-9.449,57,20,21,76.125,78.572,81.378,1021,1047,0,0,-0.2253,0.2293,-0.0462,0.1186
5726962,2022-05-04T17:18:31.812519Z,49.858664938207,27.748672420700,75.7097903785,1.00,true,3.176,0.868,295.850,75.210,0.813,2,21,16,145.893,153.346,160.463,42,22,0,0,-0.4944,1.4974,0.0880,0.2996
8686598,2022-03-28T08:11:29.026154Z,50.841252689639,28.995364358011,62.9466360709,1.00,true,1.590,1.508,51.460,62.447,-2.974,10,20,20,63.438,66.190,72.183,177,179,0,0,-0.1775,0.1640,0.0634,0.1309
10376973,2022-03-28T08:28:13.492548Z,50.536606944818,28.655271677964,54.8999072200,1.00,true,1.112,2.875,65.258,54.400,-9.507,45,13,20,63.738,67.129,71.045,527,791,0,0,-0.1879,0.1280,-0.0072,0.0887
12187277,2022-02-25T00:41:01.275219Z,55.658071620568,-50.600398862217,1558.8670993393,1.00,true,1.622,2.258,5114.687,1558.367,-796.725,31,22,0,4684.801,4696.009,4705.201,609,0,0,0,0.1612,0.0741,-0.0548,0.1371
24960911,2022-03-15T21:24:35.404074Z,51.383454996831,31.629103335210,198.0424104781,1.00,true,1.582,0.473,81.487,197.542,-28.596,2,20,0,268.013,273.344,277.301,40,0,0,0,0.0036,0.5985,0.8788,0.1645
34454771,2022-08-09T14:32:35.274397Z,50.838832188661,28.927677098072,22.8804825494,1.00,true,0.705,1.255,16.807,22.380,-2.726,40,15,18,25.214,34.214,43.873,434,505,0,0,-0.0857,0.1752,0.0108,0.0991
42519302,2022-02-25T03:57:45.821883Z,51.272858780009,28.786334599107,41.8186155084,1.00,true,1.693,1.383,46.888,41.319,-4.178,25,22,19,71.370,82.166,94.911,432,393,0,0,0.0501,0.1318,0.0224,0.0709
47390802,2022-02-25T04:05:45.821263Z,50.094378423042,26.083890959812,204.1597113532,1.00,true,2.327,10.064,356.927,203.660,-34.179,24,24,23,296.765,302.946,307.966,566,426,0,0,-1.7857,14.5751,-0.1078,0.3062
47569698,2022-03-28T12:00:05.046467Z,50.312944491397,29.232544753339,65.0286704323,1.00,true,0.509,2.954,63.395,64.529,-9.954,59,22,22,70.175,77.635,83.887,1173,1141,0,0,-0.0061,0.0700,-0.0100,0.0337
47663123,2022-03-28T12:00:58.637564Z,50.143633660548,29.452127032128,58.1051976506,1.00,true,0.869,2.989,84.120,57.605,-9.362,58,20,21,75.581,86.055,95.485,1068,1027,0,0,-0.3151,0.2644,-0.1474,0.1105
47779523,2022-03-28T12:02:15.638761Z,50.332966488121,28.547394247627,62.6869473111,1.00,true,0.765,3.175,94.876,62.187,-9.361,48,22,21,81.569,85.294,89.851,939,822,0,0,-0.0551,0.1159,0.0233,0.0965
47870573,2022-03-28T12:03:06.529995Z,50.525536706041,29.021005787010,82.6416686987,1.00,true,0.584,2.905,55.510,82.142,-9.470,52,22,22,83.685,85.180,87.177,1008,929,0,0,0.0035,0.0857,0.0326,0.0454
47962473,2022-03-28T12:03:57.526034Z,51.136599290551,29.975233249028,36.2601061328,1.00,true,0.613,3.475,56.761,35.760,-10.474,41,22,22,78.468,84.885,91.910,826,785,0,0,0.0423,0.2031,-0.1911,0.3096
