latitude,longitude,elevation,networkCode,stationCode,locationCode
50.7012,29.2242,0.0,AK,AKASG,
50.6911,29.2131,0.0,AK,AK01,
50.6573,29.2057,0.0,AK,AK02,
50.7263,29.2217,0.0,AK,AK03,
50.7226,29.166,0.0,AK,AK04,
50.6197,29.2036,0.0,AK,AK05,
50.5858,29.1985,0.0,AK,AK06,
50.5507,29.2044,0.0,AK,AK07,
50.6338,29.2548,0.0,AK,AK08,
50.6151,29.2846,0.0,AK,AK09,
50.599,29.2513,0.0,AK,AK10,
50.6784,29.1677,0.0,AK,AK11,
50.6437,29.1549,0.0,AK,AK12,
50.6129,29.0606,0.0,AK,AK13,
50.6306,29.1076,0.0,AK,AK14,
50.6951,29.124,0.0,AK,AK15,
50.67,29.1058,0.0,AK,AK16,
50.6851,29.0574,0.0,AK,AK17,
50.7221,29.0676,0.0,AK,AK18,
50.7222,29.0116,0.0,AK,AK19,
50.743,29.01,0.0,AK,AK20,
50.7764,29.0419,0.0,AK,AK21,
50.7608,29.0712,0.0,AK,AK22,
50.7625,29.1254,0.0,AK,AK23,
50.7012,29.2242,0.0,AK,AKBB,
