airquake_count,cc_percent,ct_percent,events,global_iteration,iteration,mean_abs_dt_ms,mean_abs_dx_m,mean_abs_dy_m,mean_abs_dz_m,origin_shift_m,rms_cc_ms,rms_cc_percent,rms_cc_s,rms_ct_ms,rms_ct_percent,rms_ct_s,rms_station_ms,rms_station_percent
0,100.0,100.0,1,1,1,17.0,172.0,290.0,231.0,0.0,31.0,-36.1,0.0876,52.0,100.0,0.0819,489.0,-64.8
0,97.0,100.0,2,2,2,5.0,32.0,19.0,71.0,0.0,24.0,-48.1,0.0236,27.0,100.0,0.0272,226.0,-23.3
0,95.0,100.0,3,3,3,1.0,6.0,2.0,31.0,0.0,23.0,-14.5,0.0227,23.0,100.0,0.0232,210.0,-4.1
0,95.0,100.0,4,4,4,0.0,3.0,1.0,7.0,0.0,22.0,-3.3,0.0224,22.0,100.0,0.0225,192.0,-1.4
0,95.0,100.0,5,5,5,3.0,17.0,25.0,52.0,0.0,12.0,3.9,nan,23.0,100.0,nan,214.0,-46.9
0,94.0,100.0,6,6,6,0.0,3.0,4.0,9.0,0.0,11.0,-1.5,nan,23.0,99.0,nan,148.0,-7.1
0,94.0,100.0,7,7,7,0.0,1.0,1.0,6.0,0.0,11.0,-0.4,nan,23.0,99.0,nan,148.0,-2.1
0,94.0,100.0,8,8,8,5.0,14.0,21.0,73.0,0.0,7.0,13.3,nan,26.0,99.0,nan,130.0,-37.8
0,94.0,100.0,9,9,9,0.0,2.0,4.0,10.0,0.0,6.0,6.9,nan,28.0,98.0,nan,131.0,-14.8
0,94.0,100.0,10,10,10,0.0,1.0,2.0,5.0,0.0,5.0,1.0,nan,28.0,98.0,nan,131.0,-4.8
0,94.0,100.0,11,11,11,0.0,2.0,3.0,6.0,0.0,5.0,-3.4,nan,27.0,96.0,nan,132.0,-12.0
0,94.0,100.0,12,12,12,0.0,1.0,2.0,5.0,0.0,5.0,1.1,nan,27.0,95.0,nan,132.0,-3.0
0,94.0,100.0,13,13,13,0.0,1.0,1.0,3.0,0.0,5.0,0.4,nan,28.0,94.0,nan,132.0,-1.4
