cluster_id,latitude,longitude,mean_cc_p_s,mean_cc_s_s,n_cc_p,n_cc_s,n_ct_p,n_ct_s,rms_cc_s,rms_ct_s,station_id
1,37.1638,-121.628,0.0,0.0,0,1,0,0,0.0144,0.0,NCCAD
1,37.8613,-122.43,0.0,0.0,65,42,91,0,0.0052,0.0137,NCCAI
1,37.4505,-121.8,0.0,0.0,7,6,0,0,0.0038,0.0,NCCAL
1,37.8165,-122.063,0.0,0.0,27,10,60,0,0.0044,0.0176,NCCBR
1,37.9241,-122.108,0.0,0.0,21,49,88,0,0.0056,0.0151,NCCBW
1,37.2582,-121.675,0.0,0.0,8,1,0,0,0.0054,0.0,NCCCO
1,37.5515,-122.091,0.0,0.0,4,35,38,0,0.0126,0.0296,NCCCY
1,37.7301,-121.836,0.0,0.0,10,1,16,0,0.005,0.0743,NCCDO
1,38.0299,-122.002,0.0,0.0,2,7,9,0,0.0042,0.0747,NCCDU
1,37.6454,-122.011,0.0,0.0,1,1,9,0,0.001,0.0793,NCCGP
1,37.7381,-122.065,0.0,0.0,49,42,91,0,0.0062,0.0481,NCCLC
1,37.7812,-122.177,0.0,0.0,15,42,101,0,0.0113,0.0363,NCCMC
1,37.5202,-121.873,0.0,0.0,15,8,31,0,0.0049,0.0636,NCCMJ
1,37.811,-121.804,0.0,0.0,23,2,23,0,0.0112,0.0338,NCCMO
1,37.595,-121.638,0.0,0.0,0,1,0,0,0.011,0.0,NCCMR
1,37.6079,-121.965,0.0,0.0,4,2,6,0,0.0014,0.0195,NCCNI
1,37.9889,-122.216,0.0,0.0,10,2,21,0,0.0053,0.014,NCCPI
1,37.6375,-121.961,0.0,0.0,17,6,29,0,0.0069,0.025,NCCPL
1,37.9491,-122.409,0.0,0.0,3,0,15,0,0.0079,0.0111,NCCPM
1,37.7672,-121.938,0.0,0.0,0,0,1,0,0.0,0.0186,NCCRA
1,37.9127,-121.906,0.0,0.0,1,3,6,0,0.0031,0.0531,NCCRP
1,37.648,-122.043,0.0,0.0,4,12,3,0,0.0066,0.0883,NCCSH
1,37.7242,-122.119,0.0,0.0,4,3,16,1,0.0032,0.0913,NCCSL
1,37.9571,-122.311,0.0,0.0,22,32,101,0,0.0085,0.0291,NCCSP
1,37.8653,-122.006,0.0,0.0,10,0,28,0,0.0049,0.0237,NCCSV
1,37.884,-122.223,0.0,0.0,7,5,26,19,0.0032,0.0213,NCCVP
1,37.8079,-122.362,0.0,0.0,0,1,3,6,0.0106,0.0109,NCCYB
1,37.1578,-121.848,0.0,0.0,4,18,1,0,0.006,0.0527,NCJAL
1,37.343,-122.34,0.0,0.0,14,4,17,0,0.0048,0.0813,NCJBG
1,37.317,-122.154,0.0,0.0,13,24,21,0,0.0047,0.0282,NCJBM
1,37.517,-122.377,0.0,0.0,11,1,21,0,0.0035,0.012,NCJCH
1,37.5883,-122.323,0.0,0.0,11,0,15,0,0.0027,0.0107,NCJCP
1,37.5138,-122.463,0.0,0.0,21,4,56,0,0.007,0.0266,NCJEG
1,37.4441,-122.304,0.0,0.0,40,12,63,0,0.0051,0.0598,NCJHP
1,37.3445,-122.203,0.0,0.0,2,0,3,0,0.0054,0.0367,NCJJR
1,37.3537,-122.204,0.0,0.0,4,8,1,0,0.0037,0.0522,NCJLT
1,37.6375,-122.476,0.0,0.0,29,16,76,0,0.0052,0.0167,NCJMG
1,37.2626,-122.214,0.0,0.0,33,18,34,0,0.0101,0.0899,NCJPP
1,37.795,-122.475,0.0,0.0,8,31,79,0,0.0091,0.0648,NCJPR
1,37.1984,-122.348,0.0,0.0,27,13,6,0,0.004,0.1037,NCJPS
1,37.5822,-122.42,0.0,0.0,20,18,101,0,0.0046,0.0139,NCJSA
1,37.6743,-122.399,0.0,0.0,12,2,33,0,0.0047,0.0198,NCJSB
1,37.2843,-122.124,0.0,0.0,2,33,14,0,0.0063,0.0799,NCJSC
1,37.4046,-122.174,0.0,0.0,3,9,3,0,0.0105,0.0534,NCJSF
1,37.2832,-122.051,0.0,0.0,3,14,6,0,0.0112,0.0736,NCJSG
1,37.3338,-122.092,0.0,0.0,0,2,1,0,0.0034,0.0192,NCJSJ
1,37.2123,-122.169,0.0,0.0,13,9,8,0,0.0067,0.0498,NCJSM
1,37.2068,-121.797,0.0,0.0,7,10,2,0,0.0064,0.1324,NCJST
1,38.4382,-122.25,0.0,0.0,0,0,1,0,0.0,0.0484,NCNAP
1,37.9214,-122.718,0.0,0.0,3,0,6,0,0.0052,0.0248,NCNBO
1,38.261,-122.551,0.0,0.0,3,0,5,0,0.0026,0.0842,NCNBR
1,38.3211,-122.796,0.0,0.0,11,20,13,0,0.0056,0.0953,NCNCF
1,38.5225,-123.162,0.0,0.0,3,1,0,0,0.004,0.0,NCNFR
1,38.2804,-122.216,0.0,0.0,19,4,14,0,0.0046,0.0932,NCNGV
1,38.5893,-122.909,0.0,0.0,1,0,1,0,0.0033,0.0293,NCNHB
1,38.0496,-122.523,0.0,0.0,6,2,33,0,0.0033,0.0219,NCNHF
1,38.5616,-122.265,0.0,0.0,1,0,1,0,0.0028,0.0207,NCNIM
1,38.1228,-122.149,0.0,0.0,21,19,58,0,0.0071,0.06,NCNLH
1,38.1526,-122.713,0.0,0.0,29,6,70,0,0.0044,0.022,NCNLN
1,38.591,-122.913,0.0,0.0,1,0,1,0,0.01,0.0413,NCNMC
1,38.076,-122.259,0.0,0.0,3,1,10,0,0.0092,0.0136,NCNMI
1,38.0403,-122.795,0.0,0.0,34,6,101,0,0.0064,0.0371,NCNOL
1,38.5199,-122.608,0.0,0.0,5,6,1,0,0.0059,0.0977,NCNSH
1,38.2003,-122.464,0.0,0.0,3,5,41,0,0.0047,0.0592,NCNSP
1,37.9231,-122.598,0.0,0.0,23,11,76,0,0.0066,0.0172,NCNTA
1,38.2474,-122.931,0.0,0.0,27,5,31,0,0.0053,0.0493,NCNTB
1,38.3891,-122.663,0.0,0.0,9,6,2,0,0.004,0.0194,NCNTY
1,38.3763,-122.445,0.0,0.0,7,9,1,0,0.0071,0.0856,NCNVE
1,38.4571,-122.888,0.0,0.0,0,1,0,0,0.0169,0.0,NCNWR
1,37.5665,-121.679,0.0,0.0,20,4,18,0,0.0076,0.0685,NCCDV
1,37.6279,-121.707,0.0,0.0,6,5,1,0,0.0049,0.1006,NCCMN
1,37.6392,-121.498,0.0,0.0,4,0,3,0,0.0097,0.1091,NCCST
1,37.6182,-121.76,0.0,0.0,0,0,1,0,0.0,0.0645,NCCVA
1,37.6236,-121.836,0.0,0.0,6,1,1,0,0.0056,0.0858,NCCVL
